number,name,organ_smiles
334,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
335,UiO(66)Zr,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
336,ZnAMT,['SC1=NC([NH-])=N[N-]1']
337,ZnAMT,['SC1=NC([NH-])=N[N-]1']
338,ZnAMT,['SC1=NC([NH-])=N[N-]1']
339,ZnAMT,['SC1=NC([NH-])=N[N-]1']
340,ZnAMT,['SC1=NC([NH-])=N[N-]1']
341,ZnAMT,['SC1=NC([NH-])=N[N-]1']
342,ZnAMT,['SC1=NC([NH-])=N[N-]1']
343,ZnAMT,['SC1=NC([NH-])=N[N-]1']
344,ZnAMT,['SC1=NC([NH-])=N[N-]1']
345,ZnAMT,['SC1=NC([NH-])=N[N-]1']
346,EuMOF,['OC1=CC(C([O-])=O)=CC=C1/N=C/C2=CC=C(C([O-])=O)C=C2']
347,EuMOF,['OC1=CC(C([O-])=O)=CC=C1/N=C/C2=CC=C(C([O-])=O)C=C2']
348,EuMOF,['OC1=CC(C([O-])=O)=CC=C1/N=C/C2=CC=C(C([O-])=O)C=C2']
349,EuMOF,['OC1=CC(C([O-])=O)=CC=C1/N=C/C2=CC=C(C([O-])=O)C=C2']
350,EuMOF,['OC1=CC(C([O-])=O)=CC=C1/N=C/C2=CC=C(C([O-])=O)C=C2']
351,EuMOF,['OC1=CC(C([O-])=O)=CC=C1/N=C/C2=CC=C(C([O-])=O)C=C2']
352,EuMOF,['OC1=CC(C([O-])=O)=CC=C1/N=C/C2=CC=C(C([O-])=O)C=C2']
353,EuMOF,['OC1=CC(C([O-])=O)=CC=C1/N=C/C2=CC=C(C([O-])=O)C=C2']
354,iMOF(3C)Ni,['N(C1=CC=C(N2C=C[N-]C2)C=C1)(C3=CC=C(N4C=C[N-]C4)C=C3)C5=CC=C(N6C=C[N-]C6)C=C5']
355,iMOF(3C)Ni,['N(C1=CC=C(N2C=C[N-]C2)C=C1)(C3=CC=C(N4C=C[N-]C4)C=C3)C5=CC=C(N6C=C[N-]C6)C=C5']
356,iMOF(3C)Ni,['N(C1=CC=C(N2C=C[N-]C2)C=C1)(C3=CC=C(N4C=C[N-]C4)C=C3)C5=CC=C(N6C=C[N-]C6)C=C5']
357,iMOF(3C)Ni,['N(C1=CC=C(N2C=C[N-]C2)C=C1)(C3=CC=C(N4C=C[N-]C4)C=C3)C5=CC=C(N6C=C[N-]C6)C=C5']
358,iMOF(3C)Ni,['N(C1=CC=C(N2C=C[N-]C2)C=C1)(C3=CC=C(N4C=C[N-]C4)C=C3)C5=CC=C(N6C=C[N-]C6)C=C5']
359,iMOF(3C)Ni,['N(C1=CC=C(N2C=C[N-]C2)C=C1)(C3=CC=C(N4C=C[N-]C4)C=C3)C5=CC=C(N6C=C[N-]C6)C=C5']
360,MIL(125)Ti,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
361,MIL(125)Ti,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
362,MIL(125)Ti,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
363,MIL(125)Ti,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
364,MIL(125)Ti,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
365,MIL(125)Ti,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
366,MIL(125)Ti,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
367,SnBDC,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
368,SnBDC,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
369,SnBDC,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
370,SnBDC,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
371,SnBDC,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
372,SnBDC,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
373,SnBDC,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
374,SnBDC,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
375,SnBDC,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
376,SnBDC,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
377,SnBDC,['c1(cc(ccc1C(=O)[O-])C(=O)[O-])']
378,AlMOF1,['O=C(C1=CC(NCC2=CC=CC=N2)=C(C([O-])=O)C=C1)[O-]']
379,AlMOF1,['O=C(C1=CC(NCC2=CC=CC=N2)=C(C([O-])=O)C=C1)[O-]']
380,AlMOF1,['O=C(C1=CC(NCC2=CC=CC=N2)=C(C([O-])=O)C=C1)[O-]']
381,AlMOF1,['O=C(C1=CC(NCC2=CC=CC=N2)=C(C([O-])=O)C=C1)[O-]']
382,AlMOF1,['O=C(C1=CC(NCC2=CC=CC=N2)=C(C([O-])=O)C=C1)[O-]']
383,AlMOF1,['O=C(C1=CC(NCC2=CC=CC=N2)=C(C([O-])=O)C=C1)[O-]']
384,AlMOF1,['O=C(C1=CC(NCC2=CC=CC=N2)=C(C([O-])=O)C=C1)[O-]']
385,MIL(68)AlNH2,['NC1=C(C([O-])=O)C=CC(C([O-])=O)=C1']
